127.0.0.1 - - [31/Jan/2023:11:32:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:33:00 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:33:54 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:34:05 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:10 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:14 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:15 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:35 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:45 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:37:52 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:47:08 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:47:30 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:49:38 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:49:39 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:49:39 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:49:39 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:11:50:34 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:41:10 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:41:11 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:41:11 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:41:11 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:41:12 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:42:24 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:42:57 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [31/Jan/2023:12:49:24 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:17:22 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:20:59 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:21:01 +0900] "GET /chat221228/member/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:21:03 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=&mem_pw=&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:27:25 +0900] "GET /chat221228/member/join.html HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:27:27 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=&mem_pw=&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 200 38
